reactions,metabolites,metabolitestotal,gpr,genes
OCTDPS,frdp_c,frdp,TM1535,TM1535
OCTDPS,ipdp_c,ipdp,TM1535,TM1535
NADS1_num1,dnad_c,dnad,TM0645,TM0645
ILETRS,ile__L_c,ile__L,TM1361,TM1361
ILETRS,trnaile_c,trnaile,TM1361,TM1361
PUNP1_num1,adn_c,adn,TM1737,TM1737
IPDPS,h2mb4p_c,h2mb4p,TM1444,TM1444
PNP_num1,rnam_c,rnam,TM1737,TM1737
NMNAT,nmn_c,nmn,TM0097,TM0097
NNATr,nicrnt_c,nicrnt,TM0097,TM0097
OMPDC,orot5p_c,orot5p,TM0332,TM0332
INSTabc,inost_e,inost,TM0418 and TM0419 and TM0420 and TM0421,TM0420
INSTabc,inost_e,inost,TM0418 and TM0419 and TM0420 and TM0421,TM0421
INSTabc,inost_e,inost,TM0418 and TM0419 and TM0420 and TM0421,TM0418
INSTabc,inost_e,inost,TM0418 and TM0419 and TM0420 and TM0421,TM0419
ORNDC,orn_c,orn,TM1873,TM1873
NNAM,ncam_c,ncam,TM0475,TM0475
NNDPR,prpp_c,prpp,TM1645,TM1645
NNDPR,quln_c,quln,TM1645,TM1645
OOR2r_num1,akg_c,akg,TM1164 and TM1165,TM1165
OOR2r_num1,akg_c,akg,TM1164 and TM1165,TM1164
OOR2r_num1,fdxo_42_c,fdxo_42,TM1164 and TM1165,TM1165
OOR2r_num1,fdxo_42_c,fdxo_42,TM1164 and TM1165,TM1164
IPMD,3c2hmp_c,3c2hmp,TM0556,TM0556
ORPT,orot5p_c,orot5p,TM0331,TM0331
NP1_num1,nac_c,nac,TM1737,TM1737
NP1_num1,r1p_c,r1p,TM1737,TM1737
LCTSabc,lcts_e,lcts,TM1194 and TM1196 and TM1197 and TM1198 and TM1199,TM1197
LCTSabc,lcts_e,lcts,TM1194 and TM1196 and TM1197 and TM1198 and TM1199,TM1196
LCTSabc,lcts_e,lcts,TM1194 and TM1196 and TM1197 and TM1198 and TM1199,TM1194
LCTSabc,lcts_e,lcts,TM1194 and TM1196 and TM1197 and TM1198 and TM1199,TM1199
LCTSabc,lcts_e,lcts,TM1194 and TM1196 and TM1197 and TM1198 and TM1199,TM1198
IPPS_num1,3mob_c,3mob,TM0552,TM0552
IPPS_num1,accoa_c,accoa,TM0552,TM0552
IPPMIb,2ippm_c,2ippm,TM0554 and TM0555,TM0555
IPPMIb,2ippm_c,2ippm,TM0554 and TM0555,TM0554
NT5C_num1,nicrnt_c,nicrnt,TM1878,TM1878
LACZ_num1,lcts_c,lcts,TM1195,TM1195
LDH_L,lac__L_c,lac__L,TM1867,TM1867
LEUTRS,leu__L_c,leu__L,TM0168,TM0168
LEUTRS,trnaleu_c,trnaleu,TM0168,TM0168
LYSTRS,lys__L_c,lys__L,TM1705,TM1705
LYSTRS,trnalys_c,trnalys,TM1705,TM1705
MALT,malt_c,malt,TM1834,TM1834
MANAO,mana_c,mana,TM0068,TM0068
GLUDxi,glu__L_c,glu__L,TM1015,TM1015
SPTc,pyr_c,pyr,TM1400,TM1400
SPTc,ser__L_c,ser__L,TM1400,TM1400
ASPTA_num1,akg_c,akg,TM1698,TM1698
ASPTA_num1,asp__L_c,asp__L,TM1698,TM1698
SHKK,skm_c,skm,TM0348,TM0348
CYSTA_num1,akg_c,akg,TM1698,TM1698
CYSTA_num1,cys__L_c,cys__L,TM1698,TM1698
RBK,rib__D_c,rib__D,TM0960,TM0960
UAAGLS2,lys__L_c,lys__L,TM0237,TM0237
