,kcat,data_type,MW,kcat_MW
NDPK1,132.0795,Database,87044.08559999985,5462.590556526001
NDPK2,132.0795,Database,87044.08559999985,5462.590556526001
NO3R2,5403.507963854259,fill,508722.16410000116,38238.21732691691
NDPK3,132.0795,Database,87044.08559999985,5462.590556526001
NDPK4,132.0795,Database,87044.08559999985,5462.590556526001
NPHS,0.231125,Database,208131.3660000002,3.9977155581633914
NDPK5,132.0795,Database,87044.08559999985,5462.590556526001
NDPK6,132.0795,Database,87044.08559999985,5462.590556526001
PDHa_num1,10.620615384615384,Other_species,206877.9478000012,184.8153260954533
PDHbr_num1,2.4,Other_species,1370087.6136000035,6.3061660540801325
PDHcr_num1,136.75,Database,98477.05580000018,4999.134021632673
