reactions,metabolites,metabolitestotal,gpr,genes
3OAS60_num1,butACP_c,butACP,SGL_RS05665,SGL_RS05665
3OAS60_num1,malACP_c,malACP,SGL_RS05665,SGL_RS05665
3OAS80_num1,hexACP_c,hexACP,SGL_RS05665,SGL_RS05665
3OAS80_num1,malACP_c,malACP,SGL_RS05665,SGL_RS05665
3OAR40_2_num1,3hbutACP_c,3hbutACP,SGL_RS07245,SGL_RS07245
3OAR60_num1,3ohexACP_c,3ohexACP,SGL_RS07245,SGL_RS07245
3OAR80_num1,3ooctACP_c,3ooctACP,SGL_RS07245,SGL_RS07245
PSIb_num1,p700p_u,p700p_u,SGL_RS02560 and (SGL_RS17240,SGL_RS17240
PSIb_num1,p700p_u,p700p_u,SGL_RS02560 and (SGL_RS17240,SGL_RS02560
PSIb_num1,pcrd_l,pcrd_l,SGL_RS02560 and (SGL_RS17240,SGL_RS17240
PSIb_num1,pcrd_l,pcrd_l,SGL_RS02560 and (SGL_RS17240,SGL_RS02560
PSIa_num1,e700_u,e700_u,SGL_RS02560 and (SGL_RS17240,SGL_RS17240
PSIa_num1,e700_u,e700_u,SGL_RS02560 and (SGL_RS17240,SGL_RS02560
PSIa_num1,fdxo_2_2_c,fdxo_2_2,SGL_RS02560 and (SGL_RS17240,SGL_RS17240
PSIa_num1,fdxo_2_2_c,fdxo_2_2,SGL_RS02560 and (SGL_RS17240,SGL_RS02560
PSIa_num1,p700_u,p700_u,SGL_RS02560 and (SGL_RS17240,SGL_RS17240
PSIa_num1,p700_u,p700_u,SGL_RS02560 and (SGL_RS17240,SGL_RS02560
ORPT,orot5p_c,orot5p,SGL_RS12840,SGL_RS12840
OMPDC,orot5p_c,orot5p,SGL_RS08270,SGL_RS08270
TALA,g3p_c,g3p,SGL_RS03080,SGL_RS03080
TALA,s7p_c,s7p,SGL_RS03080,SGL_RS03080
FNOR_num1,fdxrd_c,fdxrd,SGL_RS13450,SGL_RS13450
FTR,fdxrd_c,fdxrd,SGL_RS14935 and SGL_RS14680,SGL_RS14680
FTR,fdxrd_c,fdxrd,SGL_RS14935 and SGL_RS14680,SGL_RS14935
FTR,trdox_c,trdox,SGL_RS14935 and SGL_RS14680,SGL_RS14680
FTR,trdox_c,trdox,SGL_RS14935 and SGL_RS14680,SGL_RS14935
EAR120y,tddec2eACP_c,tddec2eACP,SGL_RS04250,SGL_RS04250
EAR140y,tmrs2eACP_c,tmrs2eACP,SGL_RS04250,SGL_RS04250
EAR160y,tpalm2eACP_c,tpalm2eACP,SGL_RS04250,SGL_RS04250
SOPSII,o2_l,o2_l,SGL_RS11935 and SGL_RS11735 and SGL_RS08205 and SGL_RS08200 and SGL_RS03265 and SGL_RS02070 and SGL_RS09330 and SGL_RS10440 and SGL_RS14825 and SGL_RS16825 and SGL_RS18130 and SGL_RS01910 and SGL_RS11645 and SGL_RS08090 and SGL_RS04525 and SGL_RS12880 and SGL_RS14050 and sml0003 and SGL_RS04440 and SGL_RS07800 and SGL_RS13125 and SGL_RS04535 and SGL_RS04540 and SGL_RS04545 and smr0009 and SGL_RS07325 and SGL_RS04530 and SGL_RS02645 and SGL_RS02635,SGL_RS02635
